128,45,104,127
129,44,104,127
129,44,104,127
131,44,104,127
134,43,104,127
139,40,104,127
147,35,104,127
153,31,104,127
161,30,104,127
169,31,104,127
176,32,104,127
182,34,104,127
185,36,104,127
185,38,104,127
177,41,104,127
161,40,104,127
142,38,104,127
128,37,104,127
118,35,104,127
104,34,104,127
88,34,104,127
77,39,104,127
60,41,104,127
48,40,104,127
40,40,104,127
31,40,104,127
29,44,104,127
34,44,104,127
36,42,104,127
35,41,104,127
33,42,104,127
30,44,104,127
29,45,104,127
28,49,104,127
33,51,104,127
39,52,104,127
42,55,104,127
42,57,104,127
48,57,104,127
57,59,104,127
67,59,104,127
76,63,104,127
85,68,104,127
91,71,104,127
94,75,104,127
95,78,104,127
96,82,104,127
99,82,104,127
100,80,104,127
102,71,104,127
104,58,104,127
109,44,104,127
111,39,104,127
115,33,104,127
120,29,104,127
124,29,104,127
129,35,104,127
132,45,104,127
134,55,104,127
138,56,104,127
141,56,104,127
146,56,104,127
152,55,104,127
155,55,104,127
157,54,104,127
160,54,104,127
160,55,104,127
153,54,104,127
145,56,104,127
135,58,104,127
130,59,104,127
129,61,104,127
130,61,104,127
132,61,104,127
